"main_artist","no_rows","genre","age","gender"
"post malone",188,"hip hop",23,male
"drake",179,"hip hop",32,male
"cardi b",138,"hip hop",26,female
"xxxtentacion",109,"hip hop",20,male
"khalid",89,"r&b",20,male
"migos",86,"hip hop",21,male
"6ix9ine",79,"hip hop",22,male
"ariana grande",73,"pop",25,female
"lil baby",73,"hip hop",24,male
"imagine dragons",70,"rock",28.5,male
"juice wrld",69,"hip hop",20,male
"camila cabello",66,"pop",21,female
"bebe rexha",63,"pop",29,female
"travis scott",59,"hip hop",26,male
"eminem",58,"hip hop",46,male
"maroon 5",55,"pop",40.285,male
"ella mai",52,"r&b",24,female
"bazzi",51,"pop",21,male
"dua lipa",51,"pop",23,female
"youngboy never broke again",51,"hip hop",19,male
