date,year,title,artist,peak_pos,last_week,weeks,rank,change,spotifyLink,spotifyID,videoLink,genre,analysis_url,energy,liveness,tempo,speechiness,acousticness,instrumentalness,time_signature,danceability,key,duration_ms,loudness,valence,mode
2018-12-08,,Sicko Mode,Travis Scott,NA,,17,1,,spotify:track:2xLMifQCjDGFmkHkpNLD9h,2xLMifQCjDGFmkHkpNLD9h,,"[u'pop', u'pop rap', u'rap']",https://api.spotify.com/v1/audio-analysis/2xLMifQCjDGFmkHkpNLD9h,0.73,0.124,155.008,0.222,0.00513,0,4,0.834,8,312820,-3.714,0.446,1
2018-12-08,,"Thank U, Next",Ariana Grande,1,1,4,2,,spotify:track:2rPE9A1vEgShuZxxzR2tZH,2rPE9A1vEgShuZxxzR2tZH,,"[u'dance pop', u'pop', u'post-teen pop']",https://api.spotify.com/v1/audio-analysis/2rPE9A1vEgShuZxxzR2tZH,0.647,0.102,106.96,0.0658,0.28,0,4,0.724,1,207333,-5.642,0.435,1
2018-12-08,,Happier,Marshmello & Bastille,3,3,15,3,,spotify:track:2dpaYNEQHiRxtZbfNsse99,2dpaYNEQHiRxtZbfNsse99,,"[u'brostep', u'edm', u'egyptian pop', u'pop', u'progressive electro house']",https://api.spotify.com/v1/audio-analysis/2dpaYNEQHiRxtZbfNsse99,0.792,0.167,100.015,0.0452,0.191,0,4,0.687,5,214290,-2.749,0.671,1
2018-12-08,,Without Me,Halsey,4,4,8,4,,spotify:track:5p7ujcrUXASCNwRaWNHR1C,5p7ujcrUXASCNwRaWNHR1C,,"[u'dance pop', u'electropop', u'etherpop', u'indie poptimism', u'pop', u'post-teen pop']",https://api.spotify.com/v1/audio-analysis/5p7ujcrUXASCNwRaWNHR1C,0.488,0.0936,136.041,0.0705,0.297,9.11e-06,4,0.752,6,201661,-7.05,0.533,1
2018-12-08,,High Hopes,Panic! At The Disco,5,6,17,5,,spotify:track:1rqqCSm0Qe4I9rUvWncaom,1rqqCSm0Qe4I9rUvWncaom,,"[u'emo', u'modern rock', u'pop punk']",https://api.spotify.com/v1/audio-analysis/1rqqCSm0Qe4I9rUvWncaom,0.904,0.064,82.014,0.0618,0.193,0,4,0.579,5,190947,-2.729,0.681,1
2018-12-08,,Mo Bamba,Sheck Wes,6,7,14,6,,spotify:track:1xzBco0xcoJEDXktl7Jxrr,1xzBco0xcoJEDXktl7Jxrr,,"[u'hip hop', u'pop rap', u'rap', u'southern hip hop', u'trap music', u'underground hip hop']",https://api.spotify.com/v1/audio-analysis/1xzBco0xcoJEDXktl7Jxrr,0.625,0.248,146.034,0.0315,0.194,0.00986,4,0.729,4,183907,-5.266,0.261,1
2018-12-08,,ZEZE,Kodak Black Featuring Travis Scott & Offset,2,10,7,7,,spotify:track:7l3E7lcozEodtVsSTCkcaA,7l3E7lcozEodtVsSTCkcaA,,"[u'miami hip hop', u'pop', u'pop rap', u'rap', u'trap music']",https://api.spotify.com/v1/audio-analysis/7l3E7lcozEodtVsSTCkcaA,0.637,0.0967,98.044,0.24,0.0515,3.35e-06,4,0.861,8,228654,-5.692,0.474,0
2018-12-08,,Drip Too Hard,Lil Baby & Gunna,4,9,11,8,,spotify:track:1BxkZE73h9BN3qwuA15TA3,1BxkZE73h9BN3qwuA15TA3,,"[u'atl hip hop', u'rap', u'trap music']",https://api.spotify.com/v1/audio-analysis/1BxkZE73h9BN3qwuA15TA3,0.653,0.528,112.503,0.289,0.0945,0,4,0.9,1,145603,-6.962,0.399,0
2018-12-08,,Girls Like You,Maroon 5 Featuring Cardi B,1,8,27,9,,spotify:track:6FRLCMO5TUHTexlWo8ym1W,6FRLCMO5TUHTexlWo8ym1W,,[u'pop'],https://api.spotify.com/v1/audio-analysis/6FRLCMO5TUHTexlWo8ym1W,0.541,0.13,124.959,0.0505,0.568,0,4,0.851,0,235545,-6.825,0.448,1
2018-12-08,,Lucid Dreams,Juice WRLD,2,5,29,10,,spotify:track:0s3nnoMeVWz3989MkNQiRf,0s3nnoMeVWz3989MkNQiRf,,"[u'rap', u'trap music']",https://api.spotify.com/v1/audio-analysis/0s3nnoMeVWz3989MkNQiRf,0.566,0.34,83.903,0.2,0.349,0,4,0.511,6,239836,-7.23,0.218,0
2018-12-08,,Better Now,Post Malone,3,11,31,11,,spotify:track:7dt6x5M1jzdTEt8oCbisTK,7dt6x5M1jzdTEt8oCbisTK,,"[u'pop', u'rap']",https://api.spotify.com/v1/audio-analysis/7dt6x5M1jzdTEt8oCbisTK,0.563,0.136,145.028,0.0454,0.354,0,4,0.68,10,231267,-5.843,0.374,1
2018-12-08,,Youngblood,5 Seconds Of Summer,7,12,26,12,,spotify:track:55S2PQgSMYAhgoTCcGCDfw,55S2PQgSMYAhgoTCcGCDfw,,"[u'boy band', u'dance pop', u'pop', u'post-teen pop']",https://api.spotify.com/v1/audio-analysis/55S2PQgSMYAhgoTCcGCDfw,0.854,0.124,120.274,0.463,0.0169,0,4,0.596,7,203418,-5.114,0.152,0
2018-12-08,,Breathin,Ariana Grande,13,13,15,13,,spotify:track:4OafepJy2teCjYJbvFE60J,4OafepJy2teCjYJbvFE60J,,"[u'dance pop', u'pop', u'post-teen pop']",https://api.spotify.com/v1/audio-analysis/4OafepJy2teCjYJbvFE60J,0.656,0.213,100.049,0.0433,0.0211,1.37e-05,4,0.568,8,198160,-5.413,0.364,1
2018-12-08,,All I Want For Christmas Is You,Mariah Carey,9,29,26,14,,spotify:track:0bYg9bo50gSsH3LtXe2SQn,0bYg9bo50gSsH3LtXe2SQn,,"[u'dance pop', u'pop', u'r&b', u'urban contemporary']",https://api.spotify.com/v1/audio-analysis/0bYg9bo50gSsH3LtXe2SQn,0.625,0.0708,150.277,0.0386,0.164,0,4,0.335,7,241107,-7.462,0.346,1
2018-12-08,,Wake Up In The Sky,Gucci Mane X Bruno Mars X Kodak Black,14,14,11,15,,spotify:track:0QIjsbm2fh1cJ45XO9eGqq,0QIjsbm2fh1cJ45XO9eGqq,,"[u'atl hip hop', u'dirty south rap', u'hip hop', u'pop', u'pop rap', u'rap', u'southern hip hop', u'trap music']",https://api.spotify.com/v1/audio-analysis/0QIjsbm2fh1cJ45XO9eGqq,0.578,0.359,143.01,0.0485,0.00381,0,4,0.8,4,204665,-5.144,0.367,0
2018-12-08,,Trip,Ella Mai,11,15,17,16,,spotify:track:6CTWathupIiDs7U4InHnDA,6CTWathupIiDs7U4InHnDA,,"[u'indie r&b', u'pop', u'r&b', u'uk contemporary r&b', u'urban contemporary']",https://api.spotify.com/v1/audio-analysis/6CTWathupIiDs7U4InHnDA,0.61,0.107,79.882,0.144,0.225,0,4,0.477,11,213993,-5.628,0.358,0
2018-12-08,,Sunflower (Spider-Man: Into The Spider-Verse),Post Malone & Swae Lee,9,16,6,17,,spotify:track:1A6OTy97kk0mMdm78rHsm8,1A6OTy97kk0mMdm78rHsm8,,"[u'pop', u'rap']",https://api.spotify.com/v1/audio-analysis/1A6OTy97kk0mMdm78rHsm8,0.498,0.0706,89.95,0.0504,0.551,0,4,0.753,2,158053,-5.61,0.927,1
2018-12-08,,Eastside,"Benny Blanco, Halsey & Khalid",17,17,20,18,,spotify:track:0d2iYfpKoM0QCKvcLCkBao,0d2iYfpKoM0QCKvcLCkBao,,unknown,https://api.spotify.com/v1/audio-analysis/0d2iYfpKoM0QCKvcLCkBao,0.68,0.116,89.391,0.321,0.555,0,4,0.56,6,173800,-7.648,0.319,0
2018-12-08,,MIA,Bad Bunny Featuring Drake,5,18,7,19,,spotify:track:116H0KvKr2Zl4RPuVBruDO,116H0KvKr2Zl4RPuVBruDO,,"[u'reggaeton', u'trap latino']",https://api.spotify.com/v1/audio-analysis/116H0KvKr2Zl4RPuVBruDO,0.539,0.099,97.062,0.0621,0.0141,0.000496,4,0.817,6,210368,-6.349,0.158,0
2018-12-08,,Love Lies,Khalid & Normani,9,19,41,20,,spotify:track:45Egmo7icyopuzJN0oMEdk,45Egmo7icyopuzJN0oMEdk,,"[u'indie r&b', u'pop']",https://api.spotify.com/v1/audio-analysis/45Egmo7icyopuzJN0oMEdk,0.648,0.134,143.955,0.0449,0.0956,0,4,0.708,6,201707,-5.626,0.338,1
2018-12-08,,It's The Most Wonderful Time Of The Year,Andy Williams,21,-,6,21,,spotify:track:5hslUAKq9I9CG2bAulFkHN,5hslUAKq9I9CG2bAulFkHN,,"[u'adult standards', u'brill building pop', u'christmas', u'easy listening', u'lounge', u'mellow gold', u'vocal jazz']",https://api.spotify.com/v1/audio-analysis/5hslUAKq9I9CG2bAulFkHN,0.598,0.117,202.082,0.037,0.766,0,3,0.24,7,151933,-8.435,0.776,1
2018-12-08,,Taki Taki,"DJ Snake Featuring Selena Gomez, Ozuna & Cardi B",11,22,9,22,,spotify:track:4w8niZpiMy6qz1mntFA5uM,4w8niZpiMy6qz1mntFA5uM,,"[u'dance pop', u'edm', u'electronic trap', u'pop', u'tropical house']",https://api.spotify.com/v1/audio-analysis/4w8niZpiMy6qz1mntFA5uM,0.798,0.0618,95.948,0.229,0.153,3.33e-06,4,0.841,1,212500,-4.206,0.591,0
2018-12-08,,Rockin' Around The Christmas Tree,Brenda Lee,14,-,23,23,,spotify:track:1XBc4r6ltXjkFJBrsttwIF,1XBc4r6ltXjkFJBrsttwIF,,"[u'adult standards', u'brill building pop', u'christmas']",https://api.spotify.com/v1/audio-analysis/1XBc4r6ltXjkFJBrsttwIF,0.402,0.463,139.752,0.0599,0.703,0,4,0.691,8,125827,-12.149,0.844,1
2018-12-08,,Money,Cardi B,13,21,6,24,,spotify:track:2GGMabyHXnJmjY6CXhhB2e,2GGMabyHXnJmjY6CXhhB2e,,"[u'pop', u'rap']",https://api.spotify.com/v1/audio-analysis/2GGMabyHXnJmjY6CXhhB2e,0.59,0.11,130.003,0.29,0.00534,0,4,0.95,8,183527,-6.508,0.219,0
2018-12-08,,Natural,Imagine Dragons,13,20,19,25,,spotify:track:2FY7b99s15jUprqC0M5NCT,2FY7b99s15jUprqC0M5NCT,,"[u'modern rock', u'rock']",https://api.spotify.com/v1/audio-analysis/2FY7b99s15jUprqC0M5NCT,0.611,0.0812,100.0,0.0409,0.217,0,4,0.704,2,189467,-6.112,0.22,1
2018-12-08,,A Holly Jolly Christmas,Burl Ives,26,-,6,26,,spotify:track:33BcB8XVwJU4qB7bDSkVya,33BcB8XVwJU4qB7bDSkVya,,"[u'adult standards', u'american folk revival', u'christmas']",https://api.spotify.com/v1/audio-analysis/33BcB8XVwJU4qB7bDSkVya,0.363,0.15,140.296,0.0318,0.644,0,4,0.665,0,133293,-12.983,0.824,1
2018-12-08,,Leave Me Alone,Flipp Dinero,27,28,11,27,,spotify:track:14mHfNsSHN0FbLftyjrV9g,14mHfNsSHN0FbLftyjrV9g,,"[u'trap music', u'vapor trap']",https://api.spotify.com/v1/audio-analysis/14mHfNsSHN0FbLftyjrV9g,0.743,0.183,150.024,0.0851,0.107,0,4,0.792,7,195637,-2.806,0.742,1
2018-12-08,,Shallow,Lady Gaga & Bradley Cooper,5,23,9,28,,spotify:track:2VxeLyX666F8uXCJ0dZF8B,2VxeLyX666F8uXCJ0dZF8B,,"[u'dance pop', u'pop']",https://api.spotify.com/v1/audio-analysis/2VxeLyX666F8uXCJ0dZF8B,0.385,0.231,95.799,0.0308,0.371,0,4,0.572,7,215733,-6.362,0.323,1
2018-12-08,,Better,Khalid,29,43,11,29,,spotify:track:6zeeWid2sgw4lap2jV61PZ,6zeeWid2sgw4lap2jV61PZ,,"[u'indie r&b', u'pop']",https://api.spotify.com/v1/audio-analysis/6zeeWid2sgw4lap2jV61PZ,0.552,0.104,97.949,0.097,0.0765,0.334,4,0.596,0,229320,-10.278,0.112,0
2018-12-08,,Beautiful,Bazzi Featuring Camila Cabello,30,30,17,30,,spotify:track:4VUwkH455At9kENOfzTqmF,4VUwkH455At9kENOfzTqmF,,"[u'dance pop', u'pop', u'post-teen pop', u'rap']",https://api.spotify.com/v1/audio-analysis/4VUwkH455At9kENOfzTqmF,0.717,0.105,100.027,0.0337,0.346,0,4,0.638,2,180000,-4.722,0.249,1
2018-12-08,,I Like It,"Cardi B, Bad Bunny & J Balvin",1,24,34,31,,spotify:track:58q2HKrzhC3ozto2nDdN4z,58q2HKrzhC3ozto2nDdN4z,,unknown,https://api.spotify.com/v1/audio-analysis/58q2HKrzhC3ozto2nDdN4z,0.726,0.372,136.048,0.129,0.099,0,4,0.816,5,253390,-3.998,0.65,0
2018-12-08,,Broken,lovelytheband,29,35,20,32,,spotify:track:6XcfKZvJio9Z0fQy11GnNX,6XcfKZvJio9Z0fQy11GnNX,,"[u'indie poptimism', u'modern alternative rock', u'modern rock']",https://api.spotify.com/v1/audio-analysis/6XcfKZvJio9Z0fQy11GnNX,0.728,0.0429,122.996,0.0419,0.00175,4.26e-06,4,0.666,7,204878,-5.808,0.51,1
2018-12-08,,Jingle Bell Rock,Bobby Helms,29,-,21,33,,spotify:track:6xE98wKYt4vZk8j7cctjw8,6xE98wKYt4vZk8j7cctjw8,,[u'christmas'],https://api.spotify.com/v1/audio-analysis/6xE98wKYt4vZk8j7cctjw8,0.402,0.0556,119.585,0.0299,0.676,0,4,0.661,2,131733,-11.954,0.822,1
