"title","no_rows","genre"
"Drake - God's Plan",11,hip hop
"Drake - In My Feelings",10,hip hop
"Drake - Nice For What",8,hip hop
"Maroon 5 Featuring Cardi B - Girls Like You",7,pop
"Ed Sheeran - Perfect",3,pop
"Ariana Grande - Thank U, Next",3,pop
"Childish Gambino - This Is America",2,hip hop
"Camila Cabello Featuring Young Thug - Havana",1,pop
"Cardi B, Bad Bunny & J Balvin - I Like It",1,pop
"Post Malone Featuring Ty Dolla $ign - Psycho",1,hip hop
"XXXTENTACION - Sad!",1,hip hop
"Travis Scott - Sicko Mode",1,hip hop
