"date","artist","title","rank","peak_pos","last_week","weeks"
"2018-12-08","Travis Scott","Sicko Mode",1,NA,"",17
"2018-12-08","Ariana Grande","Thank U, Next",2,1,"1",4
"2018-12-08","Marshmello & Bastille","Happier",3,3,"3",15
"2018-12-08","Halsey","Without Me",4,4,"4",8
"2018-12-08","Panic! At The Disco","High Hopes",5,5,"6",17
"2018-12-08","Sheck Wes","Mo Bamba",6,6,"7",14
"2018-12-08","Kodak Black Featuring Travis Scott & Offset","ZEZE",7,2,"10",7
"2018-12-08","Lil Baby & Gunna","Drip Too Hard",8,4,"9",11
"2018-12-08","Maroon 5 Featuring Cardi B","Girls Like You",9,1,"8",27
"2018-12-08","Juice WRLD","Lucid Dreams",10,2,"5",29
"2018-12-08","Post Malone","Better Now",11,3,"11",31
"2018-12-08","5 Seconds Of Summer","Youngblood",12,7,"12",26
"2018-12-08","Ariana Grande","Breathin",13,13,"13",15
"2018-12-08","Mariah Carey","All I Want For Christmas Is You",14,9,"29",26
"2018-12-08","Gucci Mane X Bruno Mars X Kodak Black","Wake Up In The Sky",15,14,"14",11
"2018-12-08","Ella Mai","Trip",16,11,"15",17
"2018-12-08","Post Malone & Swae Lee","Sunflower (Spider-Man: Into The Spider-Verse)",17,9,"16",6
"2018-12-08","Benny Blanco, Halsey & Khalid","Eastside",18,17,"17",20
"2018-12-08","Bad Bunny Featuring Drake","MIA",19,5,"18",7
"2018-12-08","Khalid & Normani","Love Lies",20,9,"19",41
"2018-12-08","Andy Williams","It's The Most Wonderful Time Of The Year",21,21,"-",6
"2018-12-08","DJ Snake Featuring Selena Gomez, Ozuna & Cardi B","Taki Taki",22,11,"22",9
"2018-12-08","Brenda Lee","Rockin' Around The Christmas Tree",23,14,"-",23
"2018-12-08","Cardi B","Money",24,13,"21",6
"2018-12-08","Imagine Dragons","Natural",25,13,"20",19
"2018-12-08","Burl Ives","A Holly Jolly Christmas",26,26,"-",6
"2018-12-08","Flipp Dinero","Leave Me Alone",27,27,"28",11
"2018-12-08","Lady Gaga & Bradley Cooper","Shallow",28,5,"23",9
"2018-12-08","Khalid","Better",29,29,"43",11
"2018-12-08","Bazzi Featuring Camila Cabello","Beautiful",30,30,"30",17
"2018-12-08","Cardi B, Bad Bunny & J Balvin","I Like It",31,1,"24",34
"2018-12-08","lovelytheband","Broken",32,29,"35",20
"2018-12-08","Bobby Helms","Jingle Bell Rock",33,29,"-",21
"2018-12-08","Ariana Grande","God Is A Woman",34,8,"26",20
"2018-12-08","Tyga Featuring Offset","Taste",35,8,"27",27
"2018-12-08","6ix9ine Featuring Nicki Minaj & Murda Beatz","FEFE",36,3,"38",19
"2018-12-08","Drake","In My Feelings",37,1,"25",22
"2018-12-08","Dan + Shay","Speechless",38,33,"33",12
